The Shining ,610333,English,8.4,,,,,,,,,,,,
Once Upon a Time in America ,221000,English,8.4,,,,,,,,,,,,
Amélie ,534262,French,8.4,,,,,,,,,,,,
Princess Mononoke ,221552,Japanese,8.4,,,,,,,,,,,,
Toy Story 3 ,544884,English,8.3,,,,,,,,,,,,
Inside Out ,345198,English,8.3,,,,,,,,,,,,
Toy Story ,623757,English,8.3,,,,,,,,,,,,
The Sting ,175607,English,8.3,,,,,,,,,,,,
Indiana Jones and the Last Crusade ,515306,English,8.3,,,,,,,,,,,,
Good Will Hunting ,604904,English,8.3,,,,,,,,,,,,
Up ,665575,English,8.3,,,,,,,,,,,,
Unforgiven ,277505,English,8.3,,,,,,,,,,,,
Batman Begins ,980946,English,8.3,,,,,,,,,,,,
Inglourious Basterds ,885175,English,8.3,,,,,,,,,,,,
2001: A Space Odyssey ,427357,English,8.3,,,,,,,,,,,,
Amadeus ,270790,English,8.3,,,,,,,,,,,,
L.A. Confidential ,414219,English,8.3,,,,,,,,,,,,
Snatch ,600996,English,8.3,,,,,,,,,,,,
Some Like It Hot ,175196,English,8.3,,,,,,,,,,,,
Scarface ,537442,English,8.3,,,,,,,,,,,,
Eternal Sunshine of the Spotless Mind ,666937,English,8.3,,,,,,,,,,,,
Inside Job ,55382,English,8.3,,,,,,,,,,,,
Room ,161288,English,8.3,,,,,,,,,,,,
Monty Python and the Holy Grail ,382240,English,8.3,,,,,,,,,,,,
Life             ,29450,English,8.3,,,,,,,,,,,,
Taxi Driver ,507063,English,8.3,,,,,,,,,,,,
Singin' in the Rain ,150020,English,8.3,,,,,,,,,,,,
The Apartment ,109335,English,8.3,,,,,,,,,,,,
Judgment at Nuremberg ,44457,English,8.3,,,,,,,,,,,,
The Hunt ,170155,Danish,8.3,,,,,,,,,,,,
The Great Escape ,165638,English,8.3,,,,,,,,,,,,
Metropolis ,111841,German,8.3,,,,,,,,,,,,
Downfall ,248354,German,8.3,,,,,,,,,,,,
Raging Bull ,235133,English,8.3,,,,,,,,,,,,
Finding Nemo ,692482,English,8.2,,,,,,,,,,,,
Gone with the Wind ,215340,English,8.2,,,,,,,,,,,,
Captain America: Civil War ,272670,English,8.2,,,,,,,,,,,,
Gran Torino ,561773,English,8.2,,,,,,,,,,,,
A Beautiful Mind ,610568,English,8.2,,,,,,,,,,,,
Die Hard ,592582,English,8.2,,,,,,,,,,,,
How to Train Your Dragon ,485430,English,8.2,,,,,,,,,,,,
The Bridge on the River Kwai ,149444,English,8.2,,,,,,,,,,,,
Pan's Labyrinth ,467234,Spanish,8.2,,,,,,,,,,,,
The Secret in Their Eyes ,131831,Spanish,8.2,,,,,,,,,,,,
The Wolf of Wall Street ,780588,English,8.2,,,,,,,,,,,,
V for Vendetta ,791783,English,8.2,,,,,,,,,,,,
Trainspotting ,469561,English,8.2,,,,,,,,,,,,
On the Waterfront ,100890,English,8.2,,,,,,,,,,,,
Into the Wild ,426359,English,8.2,,,,,,,,,,,,
"Lock, Stock and Two Smoking Barrels ",414976,English,8.2,,,,,,,,,,,,
The Big Lebowski ,537419,English,8.2,,,,,,,,,,,,
Incendies ,80429,French,8.2,,,,,,,,,,,,
It Happened One Night ,64888,English,8.2,,,,,,,,,,,,
Blade Runner ,461609,English,8.2,,,,,,,,,,,,
The Thing ,258078,English,8.2,,,,,,,,,,,,
Rebecca ,87424,English,8.2,,,,,,,,,,,,
Mr. Smith Goes to Washington ,77392,English,8.2,,,,,,,,,,,,
Buffy the Vampire Slayer             ,101902,English,8.2,,,,,,,,,,,,
The Elephant Man ,161972,English,8.2,,,,,,,,,,,,
Casino ,333542,English,8.2,,,,,,,,,,,,
Warrior ,332276,English,8.2,,,,,,,,,,,,
The Deer Hunter ,232577,English,8.2,,,,,,,,,,,,
Howl's Moving Castle ,214091,Japanese,8.2,,,,,,,,,,,,
Lage Raho Munna Bhai ,27569,Hindi,8.2,,,,,,,,,,,,
The Avengers ,995415,English,8.1,,,,,,,,,,,,
Deadpool ,479047,English,8.1,,,,,,,,,,,,
Jurassic Park ,613473,English,8.1,,,,,,,,,,,,
The Sixth Sense ,704766,English,8.1,,,,,,,,,,,,
"Monsters, Inc. ",585659,English,8.1,,,,,,,,,,,,
Pirates of the Caribbean: The Curse of the Black Pearl ,809474,English,8.1,,,,,,,,,,,,
Guardians of the Galaxy ,682155,English,8.1,,,,,,,,,,,,
The Help ,318955,English,8.1,,,,,,,,,,,,
Platoon ,291603,English,8.1,,,,,,,,,,,,
The Martian ,472488,English,8.1,,,,,,,,,,,,
The Bourne Ultimatum ,491077,English,8.1,,,,,,,,,,,,
Rocky ,375240,English,8.1,,,,,,,,,,,,
Gone Girl ,569841,English,8.1,,,,,,,,,,,,
Butch Cassidy and the Sundance Kid ,152089,English,8.1,,,,,,,,,,,,
The Imitation Game ,467613,English,8.1,,,,,,,,,,,,
Million Dollar Baby ,482064,English,8.1,,,,,,,,,,,,
The Truman Show ,667983,English,8.1,,,,,,,,,,,,
Groundhog Day ,437418,English,8.1,,,,,,,,,,,,
No Country for Old Men ,612060,English,8.1,,,,,,,,,,,,
The Revenant ,406020,English,8.1,,,,,,,,,,,,
Shutter Island ,786092,English,8.1,,,,,,,,,,,,
Stand by Me ,271794,English,8.1,,,,,,,,,,,,
Kill Bill: Vol. 1 ,735784,English,8.1,,,,,,,,,,,,
12 Years a Slave ,439176,English,8.1,,,,,,,,,,,,
Annie Hall ,192940,English,8.1,,,,,,,,,,,,
Sin City ,656640,English,8.1,,,,,,,,,,,,
The Grand Budapest Hotel ,475518,English,8.1,,,,,,,,,,,,
The Terminator ,600266,English,8.1,,,,,,,,,,,,
Spotlight ,195333,English,8.1,,,,,,,,,,,,
The Best Years of Our Lives ,40359,English,8.1,,,,,,,,,,,,
The Wizard of Oz ,291875,English,8.1,,,,,,,,,,,,
There Will Be Blood ,372990,English,8.1,,,,,,,,,,,,
Prisoners ,383591,English,8.1,,,,,,,,,,,,
The Princess Bride ,294163,English,8.1,,,,,,,,,,,,
Hotel Rwanda ,264533,English,8.1,,,,,,,,,,,,
Touching the Void ,26926,English,8.1,,,,,,,,,,,,
Mad Max: Fury Road ,552503,English,8.1,,,,,,,,,,,,
Amores Perros ,173551,Spanish,8.1,,,,,,,,,,,,
Before Sunrise ,183288,English,8.1,,,,,,,,,,,,
The Celebration ,65951,Danish,8.1,,,,,,,,,,,,
High Noon ,80193,English,8.1,,,,,,,,,,,,
Solaris ,54057,Russian,8.1,,,,,,,,,,,,
Cat on a Hot Tin Roof ,33741,English,8.1,,,,,,,,,,,,
The Man Who Shot Liberty Valance ,53741,English,8.1,,,,,,,,,,,,
Donnie Darko ,580999,English,8.1,,,,,,,,,,,,
Network ,103493,English,8.1,,,,,,,,,,,,
Elite Squad ,81644,Portuguese,8.1,,,,,,,,,,,,
A Christmas Story ,104908,English,8.1,,,,,,,,,,,,
The Sea Inside ,64556,Spanish,8.1,,,,,,,,,,,,
Barry Lyndon ,101627,English,8.1,,,,,,,,,,,,
Rush ,312629,English,8.1,,,,,,,,,,,,
Tae Guk Gi: The Brotherhood of War ,31943,Korean,8.1,,,,,,,,,,,,
Hachi: A Dog's Tale ,155249,English,8.1,,,,,,,,,,,,
Gandhi ,171726,English,8.1,,,,,,,,,,,,
Akira ,106160,Japanese,8.1,,,,,,,,,,,,
Jaws ,412454,English,8,,,,,,,,,,,,
The Exorcist ,284252,English,8,,,,,,,,,,,,
Aladdin ,260939,English,8,,,,,,,,,,,,
The Incredibles ,479166,English,8,,,,,,,,,,,,
Dances with Wolves ,186485,English,8,,,,,,,,,,,,
The Sound of Music ,148172,English,8,,,,,,,,,,,,
Rain Man ,383784,English,8,,,,,,,,,,,,
Slumdog Millionaire ,641997,English,8,,,,,,,,,,,,
The King's Speech ,503631,English,8,,,,,,,,,,,,
Catch Me If You Can ,525801,English,8,,,,,,,,,,,,
Star Trek ,504419,English,8,,,,,,,,,,,,
The Pursuit of Happyness ,338383,English,8,,,,,,,,,,,,
Doctor Zhivago ,55816,English,8,,,,,,,,,,,,
Black Swan ,551363,English,8,,,,,,,,,,,,
District 9 ,531737,English,8,,,,,,,,,,,,
Young Frankenstein ,112671,English,8,,,,,,,,,,,,
Dead Poets Society ,277451,English,8,,,,,,,,,,,,
Mystic River ,338415,English,8,,,,,,,,,,,,
Ratatouille ,473887,English,8,,,,,,,,,,,,
Fiddler on the Roof ,29839,English,8,,,,,,,,,,,,
Kill Bill: Vol. 2 ,512749,English,8,,,,,,,,,,,,
X-Men: Days of Future Past ,514125,English,8,,,,,,,,,,,,
JFK ,113472,English,8,,,,,,,,,,,,
The Artist ,190030,English,8,,,,,,,,,,,,
Sling Blade ,72443,English,8,,,,,,,,,,,,
Dallas Buyers Club ,326494,English,8,,,,,,,,,,,,
Boyhood ,266020,English,8,,,,,,,,,,,,
Bowling for Columbine ,123090,English,8,,,,,,,,,,,,
Casino Royale ,470483,English,8,,,,,,,,,,,,
Casino Royale ,470501,English,8,,,,,,,,,,,,
Sicko ,66610,English,8,,,,,,,,,,,,
Shaun of the Dead ,395921,English,8,,,,,,,,,,,,
The Diving Bell and the Butterfly ,89906,French,8,,,,,,,,,,,,
Life of Pi ,440084,English,8,,,,,,,,,,,,
The Perks of Being a Wallflower ,351274,English,8,,,,,,,,,,,,
A Fistful of Dollars ,147566,Italian,8,,,,,,,,,,,,
Before Sunset ,168398,English,8,,,,,,,,,,,,
Central Station ,28951,Portuguese,8,,,,,,,,,,,,
Her ,355126,English,8,,,,,,,,,,,,
Waltz with Bashir ,46107,Hebrew,8,,,,,,,,,,,,
The Return ,31589,Russian,8,,,,,,,,,,,,
Night of the Living Dead ,87978,English,8,,,,,,,,,,,,
The Man from Earth ,129799,English,8,,,,,,,,,,,,
True Romance ,163492,English,8,,,,,,,,,,,,
A Streetcar Named Desire ,78454,English,8,,,,,,,,,,,,
The Hustler ,62860,English,8,,,,,,,,,,,,
Rosemary's Baby ,140527,English,8,,,,,,,,,,,,
Persepolis ,70194,French,8,,,,,,,,,,,,
Days of Heaven ,37594,English,8,,,,,,,,,,,,
Big Fish ,350698,English,8,,,,,,,,,,,,
The Straight Story ,63733,English,8,,,,,,,,,,,,
