IMDB_TOP_250,,,,,,,,,,,,,,,,
movie_title,num_voted_users,language,imdb_score,RANK,UNIQUE_RANK,,,,,,,,,,,
Once Upon a Time in the West ,216005,English,8.6,26,37,,,,,,,,,,,
Spirited Away ,417971,Japanese,8.6,26,38,,,,,,,,,,,
The Lion King ,644348,English,8.5,39,39,,,,,,,,,,,
Raiders of the Lost Ark ,661017,English,8.5,39,40,,,,,,,,,,,
The Dark Knight Rises ,1144337,English,8.5,39,41,,,,,,,,,,,
Back to the Future ,732212,English,8.5,39,42,,,,,,,,,,,
Terminator 2: Judgment Day ,744891,English,8.5,39,43,,,,,,,,,,,
Gladiator ,982637,English,8.5,39,44,,,,,,,,,,,
The Green Mile ,782610,English,8.5,39,45,,,,,,,,,,,
Alien ,563827,English,8.5,39,46,,,,,,,,,,,
Django Unchained ,955174,English,8.5,39,47,,,,,,,,,,,
Apocalypse Now ,450676,English,8.5,39,48,,,,,,,,,,,
The Departed ,873649,English,8.5,39,49,,,,,,,,,,,
Psycho ,422432,English,8.5,39,50,,,,,,,,,,,
Memento ,845580,English,8.5,39,51,,,,,,,,,,,
The Prestige ,844052,English,8.5,39,52,,,,,,,,,,,
Whiplash ,399138,English,8.5,39,53,,,,,,,,,,,
The Lives of Others ,259379,German,8.5,39,54,,,,,,,,,,,
Children of Heaven ,27882,Persian,8.5,39,55,,,,,,,,,,,
Outlander             ,50391,English,8.5,39,56,,,,,,,,,,,
Entourage             ,135643,English,8.5,39,57,,,,,,,,,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,342585,English,8.5,39,58,,,,,,,,,,,
The Pianist ,497946,English,8.5,39,59,,,,,,,,,,,
Airlift ,30977,Hindi,8.5,39,60,,,,,,,,,,,
Star Wars: Episode VI - Return of the Jedi ,681857,English,8.4,61,61,,,,,,,,,,,
American Beauty ,822500,English,8.4,61,62,,,,,,,,,,,
Aliens ,488537,English,8.4,61,63,,,,,,,,,,,
WALL·E ,718837,English,8.4,61,64,,,,,,,,,,,
A Separation ,151812,Persian,8.4,61,65,,,,,,,,,,,
Braveheart ,736638,English,8.4,61,66,,,,,,,,,,,
Rang De Basanti ,70233,Hindi,8.4,61,67,,,,,,,,,,,
Reservoir Dogs ,664719,English,8.4,61,68,,,,,,,,,,,
Veronica Mars             ,55524,English,8.4,61,69,,,,,,,,,,,
The Inbetweeners             ,55987,English,8.4,61,70,,,,,,,,,,,
Psych             ,67315,English,8.4,61,71,,,,,,,,,,,
M*A*S*H             ,36265,English,8.4,61,72,,,,,,,,,,,
Oldboy ,356181,Korean,8.4,61,73,,,,,,,,,,,
Requiem for a Dream ,573541,English,8.4,61,74,,,,,,,,,,,
Stargate SG-1             ,63982,English,8.4,61,75,,,,,,,,,,,
To Kill a Mockingbird ,215086,English,8.4,61,76,,,,,,,,,,,
Das Boot ,168203,German,8.4,61,77,,,,,,,,,,,
"Batman: The Dark Knight Returns, Part 2 ",30434,English,8.4,61,78,,,,,,,,,,,
Lawrence of Arabia ,192775,English,8.4,61,79,,,,,,,,,,,
Baahubali: The Beginning ,62756,Telugu,8.4,61,80,,,,,,,,,,,
The Shining ,610333,English,8.4,61,81,,,,,,,,,,,
Once Upon a Time in America ,221000,English,8.4,61,82,,,,,,,,,,,
Amélie ,534262,French,8.4,61,83,,,,,,,,,,,
Princess Mononoke ,221552,Japanese,8.4,61,84,,,,,,,,,,,
Toy Story 3 ,544884,English,8.3,85,85,,,,,,,,,,,
Inside Out ,345198,English,8.3,85,86,,,,,,,,,,,
Toy Story ,623757,English,8.3,85,87,,,,,,,,,,,
The Sting ,175607,English,8.3,85,88,,,,,,,,,,,
Indiana Jones and the Last Crusade ,515306,English,8.3,85,89,,,,,,,,,,,
Good Will Hunting ,604904,English,8.3,85,90,,,,,,,,,,,
Up ,665575,English,8.3,85,91,,,,,,,,,,,
Unforgiven ,277505,English,8.3,85,92,,,,,,,,,,,
Batman Begins ,980946,English,8.3,85,93,,,,,,,,,,,
Inglourious Basterds ,885175,English,8.3,85,94,,,,,,,,,,,
2001: A Space Odyssey ,427357,English,8.3,85,95,,,,,,,,,,,
Amadeus ,270790,English,8.3,85,96,,,,,,,,,,,
L.A. Confidential ,414219,English,8.3,85,97,,,,,,,,,,,
Snatch ,600996,English,8.3,85,98,,,,,,,,,,,
Some Like It Hot ,175196,English,8.3,85,99,,,,,,,,,,,
Scarface ,537442,English,8.3,85,100,,,,,,,,,,,
Eternal Sunshine of the Spotless Mind ,666937,English,8.3,85,101,,,,,,,,,,,
Inside Job ,55382,English,8.3,85,102,,,,,,,,,,,
Room ,161288,English,8.3,85,103,,,,,,,,,,,
Monty Python and the Holy Grail ,382240,English,8.3,85,104,,,,,,,,,,,
Life             ,29450,English,8.3,85,105,,,,,,,,,,,
Taxi Driver ,507063,English,8.3,85,106,,,,,,,,,,,
Singin' in the Rain ,150020,English,8.3,85,107,,,,,,,,,,,
The Apartment ,109335,English,8.3,85,108,,,,,,,,,,,
Judgment at Nuremberg ,44457,English,8.3,85,109,,,,,,,,,,,
The Hunt ,170155,Danish,8.3,85,110,,,,,,,,,,,
The Great Escape ,165638,English,8.3,85,111,,,,,,,,,,,
Metropolis ,111841,German,8.3,85,112,,,,,,,,,,,
Downfall ,248354,German,8.3,85,113,,,,,,,,,,,
Raging Bull ,235133,English,8.3,85,114,,,,,,,,,,,
Finding Nemo ,692482,English,8.2,115,115,,,,,,,,,,,
Gone with the Wind ,215340,English,8.2,115,116,,,,,,,,,,,
Captain America: Civil War ,272670,English,8.2,115,117,,,,,,,,,,,
Gran Torino ,561773,English,8.2,115,118,,,,,,,,,,,
A Beautiful Mind ,610568,English,8.2,115,119,,,,,,,,,,,
Die Hard ,592582,English,8.2,115,120,,,,,,,,,,,
How to Train Your Dragon ,485430,English,8.2,115,121,,,,,,,,,,,
The Bridge on the River Kwai ,149444,English,8.2,115,122,,,,,,,,,,,
Pan's Labyrinth ,467234,Spanish,8.2,115,123,,,,,,,,,,,
The Secret in Their Eyes ,131831,Spanish,8.2,115,124,,,,,,,,,,,
The Wolf of Wall Street ,780588,English,8.2,115,125,,,,,,,,,,,
V for Vendetta ,791783,English,8.2,115,126,,,,,,,,,,,
Trainspotting ,469561,English,8.2,115,127,,,,,,,,,,,
On the Waterfront ,100890,English,8.2,115,128,,,,,,,,,,,
Into the Wild ,426359,English,8.2,115,129,,,,,,,,,,,
"Lock, Stock and Two Smoking Barrels ",414976,English,8.2,115,130,,,,,,,,,,,
The Big Lebowski ,537419,English,8.2,115,131,,,,,,,,,,,
Incendies ,80429,French,8.2,115,132,,,,,,,,,,,
It Happened One Night ,64888,English,8.2,115,133,,,,,,,,,,,
Blade Runner ,461609,English,8.2,115,134,,,,,,,,,,,
The Thing ,258078,English,8.2,115,135,,,,,,,,,,,
Rebecca ,87424,English,8.2,115,136,,,,,,,,,,,
Mr. Smith Goes to Washington ,77392,English,8.2,115,137,,,,,,,,,,,
Buffy the Vampire Slayer             ,101902,English,8.2,115,138,,,,,,,,,,,
The Elephant Man ,161972,English,8.2,115,139,,,,,,,,,,,
Casino ,333542,English,8.2,115,140,,,,,,,,,,,
Warrior ,332276,English,8.2,115,141,,,,,,,,,,,
The Deer Hunter ,232577,English,8.2,115,142,,,,,,,,,,,
Howl's Moving Castle ,214091,Japanese,8.2,115,143,,,,,,,,,,,
Lage Raho Munna Bhai ,27569,Hindi,8.2,115,144,,,,,,,,,,,
The Avengers ,995415,English,8.1,145,145,,,,,,,,,,,
Deadpool ,479047,English,8.1,145,146,,,,,,,,,,,
Jurassic Park ,613473,English,8.1,145,147,,,,,,,,,,,
The Sixth Sense ,704766,English,8.1,145,148,,,,,,,,,,,
"Monsters, Inc. ",585659,English,8.1,145,149,,,,,,,,,,,
Pirates of the Caribbean: The Curse of the Black Pearl ,809474,English,8.1,145,150,,,,,,,,,,,
Guardians of the Galaxy ,682155,English,8.1,145,151,,,,,,,,,,,
The Help ,318955,English,8.1,145,152,,,,,,,,,,,
Platoon ,291603,English,8.1,145,153,,,,,,,,,,,
The Martian ,472488,English,8.1,145,154,,,,,,,,,,,
The Bourne Ultimatum ,491077,English,8.1,145,155,,,,,,,,,,,
Rocky ,375240,English,8.1,145,156,,,,,,,,,,,
Gone Girl ,569841,English,8.1,145,157,,,,,,,,,,,
Butch Cassidy and the Sundance Kid ,152089,English,8.1,145,158,,,,,,,,,,,
The Imitation Game ,467613,English,8.1,145,159,,,,,,,,,,,
Million Dollar Baby ,482064,English,8.1,145,160,,,,,,,,,,,
The Truman Show ,667983,English,8.1,145,161,,,,,,,,,,,
Groundhog Day ,437418,English,8.1,145,162,,,,,,,,,,,
No Country for Old Men ,612060,English,8.1,145,163,,,,,,,,,,,
The Revenant ,406020,English,8.1,145,164,,,,,,,,,,,
Shutter Island ,786092,English,8.1,145,165,,,,,,,,,,,
Stand by Me ,271794,English,8.1,145,166,,,,,,,,,,,
Kill Bill: Vol. 1 ,735784,English,8.1,145,167,,,,,,,,,,,
12 Years a Slave ,439176,English,8.1,145,168,,,,,,,,,,,
Annie Hall ,192940,English,8.1,145,169,,,,,,,,,,,
Sin City ,656640,English,8.1,145,170,,,,,,,,,,,
The Grand Budapest Hotel ,475518,English,8.1,145,171,,,,,,,,,,,
The Terminator ,600266,English,8.1,145,172,,,,,,,,,,,
Spotlight ,195333,English,8.1,145,173,,,,,,,,,,,
The Best Years of Our Lives ,40359,English,8.1,145,174,,,,,,,,,,,
The Wizard of Oz ,291875,English,8.1,145,175,,,,,,,,,,,
There Will Be Blood ,372990,English,8.1,145,176,,,,,,,,,,,
Prisoners ,383591,English,8.1,145,177,,,,,,,,,,,
The Princess Bride ,294163,English,8.1,145,178,,,,,,,,,,,
Hotel Rwanda ,264533,English,8.1,145,179,,,,,,,,,,,
Touching the Void ,26926,English,8.1,145,180,,,,,,,,,,,
Mad Max: Fury Road ,552503,English,8.1,145,181,,,,,,,,,,,
Amores Perros ,173551,Spanish,8.1,145,182,,,,,,,,,,,
Before Sunrise ,183288,English,8.1,145,183,,,,,,,,,,,
The Celebration ,65951,Danish,8.1,145,184,,,,,,,,,,,
High Noon ,80193,English,8.1,145,185,,,,,,,,,,,
Solaris ,54057,Russian,8.1,145,186,,,,,,,,,,,
Cat on a Hot Tin Roof ,33741,English,8.1,145,187,,,,,,,,,,,
The Man Who Shot Liberty Valance ,53741,English,8.1,145,188,,,,,,,,,,,
Donnie Darko ,580999,English,8.1,145,189,,,,,,,,,,,
Network ,103493,English,8.1,145,190,,,,,,,,,,,
Elite Squad ,81644,Portuguese,8.1,145,191,,,,,,,,,,,
A Christmas Story ,104908,English,8.1,145,192,,,,,,,,,,,
The Sea Inside ,64556,Spanish,8.1,145,193,,,,,,,,,,,
Barry Lyndon ,101627,English,8.1,145,194,,,,,,,,,,,
Rush ,312629,English,8.1,145,195,,,,,,,,,,,
Tae Guk Gi: The Brotherhood of War ,31943,Korean,8.1,145,196,,,,,,,,,,,
Hachi: A Dog's Tale ,155249,English,8.1,145,197,,,,,,,,,,,
Gandhi ,171726,English,8.1,145,198,,,,,,,,,,,
Akira ,106160,Japanese,8.1,145,199,,,,,,,,,,,
Jaws ,412454,English,8,200,200,,,,,,,,,,,
The Exorcist ,284252,English,8,200,201,,,,,,,,,,,
Aladdin ,260939,English,8,200,202,,,,,,,,,,,
The Incredibles ,479166,English,8,200,203,,,,,,,,,,,
Dances with Wolves ,186485,English,8,200,204,,,,,,,,,,,
The Sound of Music ,148172,English,8,200,205,,,,,,,,,,,
Rain Man ,383784,English,8,200,206,,,,,,,,,,,
Slumdog Millionaire ,641997,English,8,200,207,,,,,,,,,,,
The King's Speech ,503631,English,8,200,208,,,,,,,,,,,
Catch Me If You Can ,525801,English,8,200,209,,,,,,,,,,,
Star Trek ,504419,English,8,200,210,,,,,,,,,,,
The Pursuit of Happyness ,338383,English,8,200,211,,,,,,,,,,,
Doctor Zhivago ,55816,English,8,200,212,,,,,,,,,,,
Black Swan ,551363,English,8,200,213,,,,,,,,,,,
District 9 ,531737,English,8,200,214,,,,,,,,,,,
Young Frankenstein ,112671,English,8,200,215,,,,,,,,,,,
Dead Poets Society ,277451,English,8,200,216,,,,,,,,,,,
Mystic River ,338415,English,8,200,217,,,,,,,,,,,
Ratatouille ,473887,English,8,200,218,,,,,,,,,,,
Fiddler on the Roof ,29839,English,8,200,219,,,,,,,,,,,
Kill Bill: Vol. 2 ,512749,English,8,200,220,,,,,,,,,,,
X-Men: Days of Future Past ,514125,English,8,200,221,,,,,,,,,,,
JFK ,113472,English,8,200,222,,,,,,,,,,,
The Artist ,190030,English,8,200,223,,,,,,,,,,,
Sling Blade ,72443,English,8,200,224,,,,,,,,,,,
Dallas Buyers Club ,326494,English,8,200,225,,,,,,,,,,,
Boyhood ,266020,English,8,200,226,,,,,,,,,,,
Bowling for Columbine ,123090,English,8,200,227,,,,,,,,,,,
Casino Royale ,470483,English,8,200,228,,,,,,,,,,,
Casino Royale ,470501,English,8,200,229,,,,,,,,,,,
Sicko ,66610,English,8,200,230,,,,,,,,,,,
Shaun of the Dead ,395921,English,8,200,231,,,,,,,,,,,
The Diving Bell and the Butterfly ,89906,French,8,200,232,,,,,,,,,,,
Life of Pi ,440084,English,8,200,233,,,,,,,,,,,
The Perks of Being a Wallflower ,351274,English,8,200,234,,,,,,,,,,,
A Fistful of Dollars ,147566,Italian,8,200,235,,,,,,,,,,,
Before Sunset ,168398,English,8,200,236,,,,,,,,,,,
Central Station ,28951,Portuguese,8,200,237,,,,,,,,,,,
Her ,355126,English,8,200,238,,,,,,,,,,,
Waltz with Bashir ,46107,Hebrew,8,200,239,,,,,,,,,,,
The Return ,31589,Russian,8,200,240,,,,,,,,,,,
Night of the Living Dead ,87978,English,8,200,241,,,,,,,,,,,
The Man from Earth ,129799,English,8,200,242,,,,,,,,,,,
True Romance ,163492,English,8,200,243,,,,,,,,,,,
A Streetcar Named Desire ,78454,English,8,200,244,,,,,,,,,,,
The Hustler ,62860,English,8,200,245,,,,,,,,,,,
Rosemary's Baby ,140527,English,8,200,246,,,,,,,,,,,
Persepolis ,70194,French,8,200,247,,,,,,,,,,,
Days of Heaven ,37594,English,8,200,248,,,,,,,,,,,
Big Fish ,350698,English,8,200,249,,,,,,,,,,,
The Straight Story ,63733,English,8,200,250,,,,,,,,,,,
